Season,HomeTeam,AwayTeam,home_rest_days_all,away_rest_days_all,home_matches_last_14_all,away_matches_last_14_all,home_played_euro_last_5,away_played_euro_last_5,diff_rest_days_all,diff_matches_last_14_all,diff_played_euro_last_5
2016_2017,Watford,Middlesbrough,7.0,6.0,3,3,0,0,1.0,0,0
2016_2017,West Ham,Crystal Palace,8.0,7.0,3,3,0,0,1.0,0,0
2016_2017,Everton,Man City,8.0,9.0,2,2,0,0,-1.0,0,0
2016_2017,Man United,Liverpool,5.0,4.0,3,3,0,0,1.0,0,0
2016_2017,Bournemouth,Watford,7.0,7.0,2,2,0,0,0.0,0,0
2016_2017,Crystal Palace,Everton,4.0,6.0,3,2,0,0,-2.0,1,0
2016_2017,Liverpool,Swansea,3.0,7.0,4,2,0,0,-4.0,2,0
2016_2017,Man City,Tottenham,6.0,7.0,1,2,0,0,-1.0,-1,0
2016_2017,Middlesbrough,West Ham,7.0,7.0,2,1,0,0,0.0,1,0
2016_2017,Stoke,Man United,7.0,6.0,2,3,0,0,1.0,-1,0
2016_2017,West Brom,Sunderland,7.0,4.0,2,3,0,0,3.0,-1,0
2016_2017,Arsenal,Burnley,8.0,5.0,1,2,0,0,3.0,-1,0
2016_2017,Chelsea,Hull,8.0,8.0,2,2,0,0,0.0,0,0
2016_2017,Southampton,Leicester,4.0,8.0,3,1,0,0,-4.0,2,0
2016_2017,Arsenal,Watford,3.0,2.0,2,2,0,0,1.0,0,0
2016_2017,Bournemouth,Crystal Palace,10.0,3.0,1,3,0,0,7.0,-2,0
2016_2017,Burnley,Leicester,3.0,4.0,3,2,0,0,-1.0,1,0
2016_2017,Liverpool,Chelsea,3.0,3.0,4,2,0,0,0.0,2,0
2016_2017,Middlesbrough,West Brom,3.0,10.0,2,1,0,0,-7.0,1,0
2016_2017,Sunderland,Tottenham,10.0,3.0,2,2,0,0,7.0,0,0
2016_2017,Swansea,Southampton,10.0,3.0,1,4,0,0,7.0,-3,0
2016_2017,Man United,Hull,3.0,3.0,3,3,0,0,0.0,0,0
2016_2017,Stoke,Everton,11.0,11.0,1,1,0,0,0.0,0,0
2016_2017,West Ham,Man City,11.0,4.0,1,2,0,0,7.0,-1,0
2016_2017,Chelsea,Arsenal,4.0,4.0,3,3,0,0,0.0,0,0
2016_2017,Crystal Palace,Sunderland,4.0,4.0,3,2,0,0,0.0,1,0
2016_2017,Everton,Bournemouth,3.0,4.0,2,2,0,0,-1.0,0,0
2016_2017,Hull,Liverpool,3.0,4.0,4,4,0,0,-1.0,0,0
2016_2017,Southampton,West Ham,4.0,3.0,4,2,0,0,1.0,2,0
2016_2017,Tottenham,Middlesbrough,4.0,4.0,3,3,0,0,0.0,0,0
2016_2017,Watford,Burnley,4.0,4.0,3,3,0,0,0.0,0,0
2016_2017,West Brom,Stoke,4.0,3.0,2,2,0,0,1.0,0,0
2016_2017,Leicester,Man United,5.0,4.0,3,3,0,0,1.0,0,0
2016_2017,Man City,Swansea,4.0,5.0,2,1,0,0,-1.0,1,0
2016_2017,Arsenal,Hull,7.0,7.0,3,3,0,0,0.0,0,0
2016_2017,Liverpool,Tottenham,7.0,7.0,3,3,0,0,0.0,0,0
2016_2017,Man United,Watford,6.0,7.0,3,3,0,0,-1.0,0,0
2016_2017,Middlesbrough,Everton,7.0,7.0,3,2,0,0,0.0,1,0
2016_2017,Stoke,Crystal Palace,7.0,7.0,2,3,0,0,0.0,-1,0
2016_2017,Sunderland,Southampton,7.0,7.0,2,3,0,0,0.0,-1,0
2016_2017,West Ham,West Brom,7.0,7.0,2,2,0,0,0.0,0,0
2016_2017,Burnley,Chelsea,8.0,8.0,2,2,0,0,0.0,0,0
2016_2017,Swansea,Leicester,7.0,4.0,2,3,0,0,3.0,-1,0
2016_2017,Bournemouth,Man City,9.0,8.0,2,2,0,0,1.0,0,0
2016_2017,Chelsea,Swansea,7.0,13.0,2,1,0,0,-6.0,1,0
2016_2017,Crystal Palace,Middlesbrough,14.0,7.0,1,2,0,0,7.0,-1,0
2016_2017,Everton,Sunderland,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Hull,Burnley,14.0,7.0,1,2,0,0,7.0,-1,0
2016_2017,Watford,West Ham,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,West Brom,Bournemouth,14.0,12.0,1,1,0,0,2.0,0,0
2016_2017,Tottenham,Stoke,3.0,15.0,3,0,1,0,-12.0,3,1
2016_2017,Leicester,Liverpool,5.0,16.0,2,0,1,0,-11.0,2,1
2016_2017,Leicester,Hull,5.0,7.0,3,1,0,0,-2.0,2,0
2016_2017,Liverpool,Arsenal,5.0,12.0,1,1,0,0,-7.0,0,0
2016_2017,Man United,Bournemouth,6.0,7.0,3,1,0,0,-1.0,2,0
2016_2017,Stoke,Middlesbrough,6.0,7.0,1,2,0,0,-1.0,-1,0
2016_2017,Swansea,Burnley,7.0,7.0,1,2,0,0,0.0,-1,0
